"ID"	"R_G"	"LOD"
"NC_000936.1_S3"	"0.450787501864931"	"0"
"NC_010429.1_S4"	"0.542941648198983"	"0"
"NC_025708.1_S1"	"0.553517889137462"	"0"
"NC_027637.1_S2"	"0.616975397099685"	"0"
"NC_039057.1_S1"	"0.605562957692525"	"0"
"S1081_ML_002_A"	"0.677955932430817"	"0"
"S1082_ML_003_A"	"0.685489209499211"	"0"
"S1083_ML_004_A"	"0.357515253045516"	"0"
"S1084_ML_005_A"	"0.693799951257463"	"0"
"S1085_ML_006_A"	"0.713227401119508"	"0"
"S1086_ML_007_A"	"0.658036258164645"	"0"
"S1087_MG_001_A"	"0.375619750626893"	"0"
"S1088_MG_002_A"	"0.621195974945243"	"0"
"S1089_MG_003_A"	"0.670177298216255"	"0"
"S1090_MG_004_A"	"0.637217458961959"	"0"
"S1091_MG_005_A"	"0.678751255080286"	"0"
"S1092_MG_006_A"	"0.681169235261744"	"0"
"S1093_MG_007_A"	"0.553131221685226"	"0"
"S1094_MG_008_A"	"0.6855451215108"	"0"
"S1095_MG_009_A"	"0.67947764872693"	"0"
"S1096_MG_010_A"	"0.728177380106449"	"1"
"S1097_MG_011_A"	"0.65971027099544"	"0"
"S1098_MG_012_A"	"0.620324119918399"	"0"
"S1099_MG_013_A"	"0.62217496220097"	"0"
"S1100_MG_014_A"	"0.680744361548278"	"0"
"S1101_MG_015_A"	"0.700238481467389"	"0"
"S1102_MG_016_A"	"0.554589149130154"	"0"
"S1103_MG_017_A"	"0.687039836000081"	"0"
"S1104_MG_018_A"	"0.63103639177167"	"0"
"S1105_MG_019_A"	"0.68371260671407"	"0"
"S1106_MG_020_A"	"0.692140191191245"	"0"
"S1107_MG_021_A"	"0.651322274326209"	"0"
"S1108_MG_022_A"	"0.662908075804669"	"0"
"S1109_MG_023_A"	"0.572955170406209"	"0"
"S1110_MG_024_A"	"0.548920476081706"	"0"
"S1111_MG_025_A"	"0.629810123418988"	"0"
"S1112_MG_026_A"	"0.568324582427646"	"0"
"S1113_MG_027_A"	"0.580105045736652"	"0"
"S1114_MG_028_A"	"0.587116648415016"	"0"
"S1115_MG_029_A"	"0.618032717874849"	"0"
"S1116_MG_030_A"	"0.723561316265873"	"1"
"S1117_MG_031_A"	"0.556669137356422"	"0"
"S1118_MG_032_A"	"0.730097067971311"	"1"
"S1119_MG_033_A"	"0.630943144364268"	"0"
"S1120_MG_034_A"	"0.689042918526592"	"0"
"S1121_MG_035_A"	"0.697761387951339"	"0"
"S1122_MG_036_A"	"0.605732484934976"	"0"
"S1123_MG_037_A"	"0.642562809984128"	"0"
"S1124_MG_038_A"	"0.660383189966722"	"0"
"S1125_MG_039_A"	"0.609623326291557"	"0"
"S1126_MG_040_A"	"0.712556262379413"	"1"
"S1127_MG_041_A"	"0.693096366010699"	"0"
"S1128_MG_042_A"	"0.677849726400004"	"0"
"S1129_MG_043_A"	"0.692415228189944"	"0"
"S1130_MG_044_A"	"0.680490809897503"	"0"
"S1131_MG_045_A"	"0.671511883626465"	"1"
"S1132_MG_046_A"	"0.685923276307691"	"0"
"S1133_MG_047_A"	"0.674630875815476"	"0"
"S1134_MG_048_A"	"0.464286100296542"	"0"
"S1138_MG_049_A"	"0.70257027132797"	"1"
"S1139_MG_050_A"	"0.614094801707587"	"0"
"S1140_MG_051_A"	"0.611848977928092"	"0"
"S1141_MG_052_A"	"0.609880803090366"	"0"
"S1142_MG_053_A"	"0.646342104414033"	"0"
"S1143_MG_054_A"	"0.590301115759213"	"0"
"S1144_MG_055_A"	"0.657032179775843"	"0"
"S1145_MG_056_A"	"0.630060230648355"	"0"
"S1146_MG_057_A"	"0.600666263850269"	"0"
"S1147_MG_058_A"	"0.601260410625621"	"0"
"S1148_MG_059_A"	"0.585814032792646"	"0"
"S1149_MG_060_A"	"0.598276432111521"	"0"
"S1150_MG_061_A"	"0.608062855905336"	"0"
"S1151_MG_062_A"	"0.536215862511214"	"0"
"S1152_MG_063_A"	"0.569160312330111"	"0"
"S1153_MG_064_A"	"0.572231901984667"	"0"
"S1154_MG_065_A"	"0.688668470574719"	"1"
"S1155_MG_066_A"	"0.608167846095122"	"0"
"S1156_MG_067_A"	"0.620214227539315"	"0"
"S1157_MG_068_A"	"0.53061501455075"	"0"
"S1158_MG_069_A"	"0.64565190341434"	"0"
"S1159_MG_070_A"	"0.625941440872473"	"0"
"S1160_MG_071_A"	"0.640142656309307"	"0"
"S1161_MG_072_A"	"0.497251074952106"	"0"
"S1162_MG_073_A"	"0.642049088138818"	"0"
"S1163_MG_074_A"	"0.571936839227771"	"0"
"S1164_MG_075_A"	"0.618841333841115"	"0"
"S1165_MG_076_A"	"0.621151756153442"	"0"
"S1166_MG_077_A"	"0.66477257081668"	"0"
"S1167_MG_078_A"	"0.613253957727482"	"0"
"S1168_MG_079_A"	"0.574055152177468"	"0"
